# 以 Tab 分隔

李知恩	lizhien
李圣经	lishenjin
李圣经	lishengjing



好	h
好吗	hm
笑死	xs
笑死我了	xswl
刚刚	gg
知道了	zdl
什么	sm
这是什么	zssm
不知道	bzd
小红书	xhs
何意味	hyw
什么情况	smqk
什么情况	smqinkuang
何意味	heyiwei
是怎么	shizenme
最佳实践	zjsj
会发生	hfs
会发生什么	hfssm
上面	smian
上面	smia
怎么	zm
禁用	jy
这些	zx
最新	zuix
安装	anz
是怎么	szm
脚本	jb
软件包	rjb
知道	zhidao
找到	zhaodao
你知道	nizhidao
你知道吗	nizhidaoma
笑死	xiaosi
笑死我了	xiaosiwole
有误	youwu
最佳实践	zuijiashijian
会发生	huifasheng
高亮	gaoliang
技术	jishu
偶数	oushu
连接	lianjie
触发	chufa
进度条	jindutiao
禁用	jinyong
静音	jingyin
这些	zhexie
注销	zhuxiao
最新	zuixin
执行	zhixing
直接	zhijie
安装	anzhuang
按照	anzhao
校验	jiaoyan
矫正	jiaozhen
正经	zhengjing
备份	beifen
名字	mingzi
不就	bujiu
诡辩论	guibianlun
克重	kezhong
平替	pingti
全键热插拔	quanjianrechaba
全键	quanjian
热插拔	rechaba
高达	gaoda
误触率	wuchulv
快捷键	kuaijiejian
狼蛛	langzhu
狼途	langtu
铝坨坨	lvtuotuo
传输	chuanshu
中英文	zhongyingwen
小红书	xiaohongshu
股民	gumin
古茗	guming
茶百道	chabaidao
霸王茶姬	bawangchaji
蜜雪冰城	mixuebingcheng
雪王	xuewang
沪上阿姨	hushangayi
奈雪的茶	naixuedecha
奈雪	naixue
瑞幸	ruixing
星巴克	xingbake
悠悠球	youyouqiu
前调	qiandiao
中调	zhongdiao
后调	houdiao
蒂普提克	diputike
宝格丽	baogeli
古驰	guchi
芦丹氏	ludanshi



毛时期	maoshiqi
邓时期	dengshiqi
江时期	jiangshiqi
胡时期	hushiqi
杨继绳	yangjisheng
高华	gaohua
杨显惠	yangxianhui
夹边沟	jiabiangou
记事	jishic
夹边沟记事	jiabiangoujishi
《红太阳是怎样升起的：延安整风的来龙去脉》	hongtaiyangshizenyangshengqide
习明泽	ximingze
习近平	xijinping
毛泽东	maozedong
李克强	likeqiang
邓小平	dengxiaoping
江泽民	jiangzemin
王沪宁	wanghuning
韩正	hanzheng
何卫东	heweidong
张又侠	zhangyouxia



Telegram	tg
Gemini	gemini
ChatGPT	chatgpt
code	code
todo	todo
todo	tood



，	douhao
。	juhao
：	maohao
；	fenhao
；	fenghao
！	gantanhao
！	gth
？	wenhao
？	wenghao
《》	shuminhao
《》	shuminghao
《》	smh
、	dunhao
（）	kuohao
“”	yinhao
“”	yinghao
